Field=#~Integer~#~50|Field=Description~String~Description~68|Field=Quantity~Integer~Quantity~51|Field=Supplier 1~String~Supplier 1~60|Field=Supplier Part Number 1~String~Supplier Part Number 1~60|Field=LibRef~String~LibRef~47|Field=Manufacturer 1~String~Manufacturer 1~62|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~45|Field=Supplier Currency 1~String~Supplier Currency 1~45|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~45|Field=Supplier Stock 1~Integer~Supplier Stock 1~45|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~45|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~53|Field=Footprint~String~Footprint~67|Field=Designator~String~Designator~68|ReportField=Currency~EUR|ReportField=ProductionQuantity~40|ReportField=ProjectFileName~IRNAS_MPPT LT3652.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\Agrelaeco\IRNAS_MPPT_charger\IRNAS_MPPT LT3652.PrjPcb|ReportField=Title~Bill of Materials production For PCB Document [MPPT charger.PcbDoc]|ReportField=ReportTime~5:05:48 PM|ReportField=ReportDate~09/11/2018|ReportField=ReportDateTime~09/11/2018 5:05:48 PM|ReportField=OutputName~Bill of Materials production|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~23|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=DataSourceFileName~MPPT charger.PcbDoc|ReportField=DataSourceFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\Agrelaeco\IRNAS_MPPT_charger\MPPT charger.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Sprague%26mpn%3DTMCMA1V225MTRF%26seller%3DFarnell%26sku%3D2491481%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2491481{URL.TIP}Supplier|2.2uF/1206|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Sprague%26mpn%3DTMCMA1V225MTRF%26seller%3DFarnell%26sku%3D2491481%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Sprague{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Sprague%26mpn%3DTMCMA1V225MTRF%26seller%3DFarnell%26sku%3D2491481%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TMCMA1V225MTRF{URL.TIP}Manufacturer|EUR|50|0|29.39|0.59|1206 CAP|C3
2||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060339K0FKEA%26seller%3DFarnell%26sku%3D1469804%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1469804{URL.TIP}Supplier|39K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060339K0FKEA%26seller%3DFarnell%26sku%3D1469804%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060339K0FKEA%26seller%3DFarnell%26sku%3D1469804%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW060339K0FKEA{URL.TIP}Manufacturer|EUR|40|0|0.66|0.02|0603 RES|R7
3||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DWSLT2010R0100FEA18%26seller%3DFarnell%26sku%3D2420772%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2420772{URL.TIP}Supplier|0.01R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DWSLT2010R0100FEA18%26seller%3DFarnell%26sku%3D2420772%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DWSLT2010R0100FEA18%26seller%3DFarnell%26sku%3D2420772%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}WSLT2010R0100FEA18{URL.TIP}Manufacturer|EUR|40|12742|46.8|1.17|1812 RES|R1
4|1K5|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW08051K50FKEA%26seller%3DFarnell%26sku%3D1652940%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1652940{URL.TIP}Supplier|1K5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW08051K50FKEA%26seller%3DFarnell%26sku%3D1652940%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW08051K50FKEA%26seller%3DFarnell%26sku%3D1652940%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW08051K50FKEA{URL.TIP}Manufacturer|EUR|100|23878|2.3|0.02|0603 RES|R3, R4
5|CONN TERM BLOCK 2POS 5MM PCB|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1715022%26seller%3DFarnell%26sku%3D3714240%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}3714240{URL.TIP}Supplier|Terminal block - 2ways|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1715022%26seller%3DFarnell%26sku%3D3714240%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Phoenix%20Contact{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1715022%26seller%3DFarnell%26sku%3D3714240%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1715022{URL.TIP}Manufacturer|EUR|80|2647|79.52|0.99|TERMINAL BLOCK - 2 WAYS|J1, J2
6||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB104V%26seller%3DFarnell%26sku%3D1577632%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1577632{URL.TIP}Supplier|100K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB104V%26seller%3DFarnell%26sku%3D1577632%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB104V%26seller%3DFarnell%26sku%3D1577632%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERA-3AEB104V{URL.TIP}Manufacturer|EUR|40|24842|7.6|0.19|0603 RES|R6
7||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB304V%26seller%3DFarnell%26sku%3D1670209%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1670209{URL.TIP}Supplier|300K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB304V%26seller%3DFarnell%26sku%3D1670209%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB304V%26seller%3DFarnell%26sku%3D1670209%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERA-3AEB304V{URL.TIP}Manufacturer|EUR|40|12709|8.36|0.21|0603 RES|R8
8|RESISTOR, 0603, 47K, FULL REEL|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB473V%26seller%3DFarnell%26sku%3D1577628%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1577628{URL.TIP}Supplier|47K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB473V%26seller%3DFarnell%26sku%3D1577628%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB473V%26seller%3DFarnell%26sku%3D1577628%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERA-3AEB473V{URL.TIP}Manufacturer|EUR|40|28267|7.51|0.19|0603 RES|R2
9|High Conductance Fast Diode|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DSS14FL%26seller%3DFarnell%26sku%3D2822564%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2822564{URL.TIP}Supplier|Diode 1N4148|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DSS14FL%26seller%3DFarnell%26sku%3D2822564%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor%20%2F%20Fairchild{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DSS14FL%26seller%3DFarnell%26sku%3D2822564%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SS14FL{URL.TIP}Manufacturer|EUR|100|800|8.95|0.09|SMB|D1, D2
10||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM219R61A106KE44D%26seller%3DFarnell%26sku%3D1845741%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1845741{URL.TIP}Supplier|10uF/0805|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM219R61A106KE44D%26seller%3DFarnell%26sku%3D1845741%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM219R61A106KE44D%26seller%3DFarnell%26sku%3D1845741%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM219R61A106KE44D{URL.TIP}Manufacturer|EUR|40|2218|10.08|0.25|0805 CAP|C5
