Removed Pin From Net: NetName=NetC5_2 Pin=R1-1
Removed Pin From Net: NetName=NetIC1_10 Pin=R1-2
Removed Pin From Net: NetName=GND Pin=R7-1
Removed Pin From Net: NetName=NetIC1_2 Pin=R7-2
Change Component Comment : Designator=C1 Old Comment=Capacitor New Comment=1uF
Change Component Comment : Designator=C3 Old Comment=Capacitor New Comment=2.2uF/1206
Change Component Comment : Designator=C6 Old Comment=Capacitor New Comment=10uF/1812
Change Component Comment : Designator=C5 Old Comment=Capacitor New Comment=10uF
Change Component Comment : Designator=C2 Old Comment=Capacitor New Comment=22uF
Change Component Comment : Designator=R6 Old Comment=FB1 New Comment=100K
Change Component Comment : Designator=R8 Old Comment=FB2 New Comment=300K
Change Component Comment : Designator=L1 Old Comment=Inductor New Comment=5.6uH
Change Component Comment : Designator=R1 Old Comment=Resistor generic New Comment=0.01R
Change Component Comment : Designator=R7 Old Comment=Resistor generic New Comment=39K
Change Component Comment : Designator=R2 Old Comment=Resistor generic New Comment=47K 
Change Component Comment : Designator=F-D1 Old Comment=Resistor generic New Comment=Fuse
Change component parameters: Designator = "R1"; Footprint = "1812 RES"; UniqueID = "\HVSMFTYO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Automotive Qualification Standard"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/2049204.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/2049204.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.mouser.com/ds/2/427/wslt2010-73010.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.mouser.com/ds/2/427/wslt2010-73010.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "WSLT2010R0100FEA18"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MSL"; Value = "MSL 1 - Unlimited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "1W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "10=0.985, 100=0.708, 500=0.572, 1000=0.522 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Range"; Value = "WSLT2010 Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "0.01ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance Tolerance"; Value = "± 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Case Style"; Value = "2010 [5025 Metric]"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Element Type"; Value = "Metal Strip"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "12782"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2420772"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVHC"; Value = "To Be Advised"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "± 75ppm/°C"; VariantName = "[No Variations]"
Change component parameters: Designator = "F-D1"; Footprint = "1206 RES"; UniqueID = "\LUFHBXHJ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Body Material"; Value = "Advanced High Temperature Substrate"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Breaking Capacity at Maximum Voltage Rating"; Value = "50 A @ 63 V ac/dc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://uk.rs-online.com/webdocs/0785/0900766b80785544.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://uk.rs-online.com/webdocs/0785/0900766b80785544.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "2 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dimensions"; Value = "3.175 x 1.524 x 0.585mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fuse Speed"; Value = "FF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.585mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.175mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Littelfuse"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "0466002,NR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Operating Temperature"; Value = "+90°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-55 ? +90 °C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "10=0.591, 100=0.399, 500=0.364, 1000=0.357, 2500=0.349, 5000=0.348, 25000=0.347 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "8073"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "9921877"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Material"; Value = "Tin Over Nickel Over Copper"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "63 V ac/dc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.524mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "LD1"; Footprint = "LED_0603"; UniqueID = "\AFOAWGCH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Automotive Qualification Standard"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Bulb Size"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/1244/1758066-1244070.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/1244/1758066-1244070.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/23621/1626779-23621468.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/23621/1626779-23621468.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current If"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LED Colour"; Value = "Red"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LED Mounting"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Luminous Intensity"; Value = "15mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Multicomp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "703-0112"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Each"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5=0.163, 25=0.139, 100=0.108, 250=0.0887, 500=0.0813, 1000=0.075 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Range"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "627"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2112124"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "140°"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength Typ"; Value = "643nm"; VariantName = "[No Variations]"
Change component parameters: Designator = "LD2"; Footprint = "LED_0603"; UniqueID = "\TGSGKBIO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Automotive Qualification Standard"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Bulb Size"; Value = "-"; VariantName = "[No Variations]"
